,0,1,2,3,4
0,1,102576938246,11084264458,0.949999988079071,0.4292500067949294
1,2,20549259919,8135658967,0.6000000238418579,1.9812225604462026
2,3,12283181028,7556822659,0.800000011920929,-9.187075317924922
3,4,12814665034,7389200792,0.6000000238418579,-1.1315128462109802
4,5,36469978395,8890002378,1.0,-10.81434163596644
5,6,18304315947,7387514063,0.6000000238418579,-0.32378588955379456
6,7,14253723534,8171024619,1.0,-18.166064104916135
7,8,47407230445,9445793782,1.0,-4.796052535195249
8,9,38184717025,9319433944,0.8500000238418579,-0.6080955516105102
9,10,41901738328,8887744762,1.0,-8.797993476125104
