,0,1,2,3,4
0,1,86798272545,10535216063,0.4000000059604645,0.4779999978542328
1,2,43722470286,8358636216,1.0,-29.16563552450637
2,3,17449594295,7525249006,1.0,-40.428137851505745
3,4,36673585054,8899222531,1.0,-32.50635635178417
4,5,10944295643,7391350112,1.0,-41.74397198226412
5,6,78281207271,10206941433,0.6000000238418579,29.162197520842746
6,7,22877167985,7857113771,1.0,-38.745566948448705
7,8,34358872904,9043726188,0.8999999761581421,-24.93074420494616
8,9,11726272724,7413275627,0.8500000238418579,-29.124197669263985
9,10,43842632050,8368844681,1.0,-29.088112400733635
