,0,1,2,3,4
0,1,16343831804,7941977821,1.0,0.0
1,2,17279621216,8185240325,0.6000000238418579,37.88955618733804
2,3,34359057291,8374653794,1.0,170.97580005359697
3,4,22107229641,7767577940,0.949999988079071,46.3559963986465
4,5,28347483079,8119218996,1.0,100.41503366381974
5,6,48270984327,9058420512,1.0,386.14866309510364
6,7,33417862249,8670137174,0.949999988079071,163.91026874732808
7,8,94730010464,11068706118,1.0,1629.7219843349903
8,9,77568898959,10399105884,0.4000000059604645,1118.2569645716737
9,10,24200083918,8321587565,1.0,59.62156040333952
