,0,1,2,3,4
0,1,10783675307,7141376130,1.0,0.10000000000000009
1,2,25036972805,8064664393,1.0,45.71703563402869
2,3,150865539696,13094321447,0.949999988079071,1106.1146687247913
3,4,50189719083,9128718801,0.6000000238418579,173.81005666591292
4,5,21606294259,8288056696,1.0,42.41826273931394
5,6,28418499891,7978448676,1.0,52.133123049986175
6,7,24538050046,8324177992,1.0,48.82334141598439
7,8,83857541952,9779966758,1.0,351.1311137966397
8,9,73817646583,10169245269,1.0,290.67895569650915
9,10,10604402992,7251755211,1.0,11.392710117001704
