,0,1,2,3,4
0,1,13147288085,7782783986,0.57,0.403795
1,2,10084832410,7345986877,0.57,19.253495855107975
2,3,9466456470,7241036050,0.72,6.922381865353272
3,4,12120640631,7786650299,0.57,32.8805416186972
4,5,12108709912,7786182017,0.57,32.79632044299529
5,6,9002339216,7082932128,0.7,5.533941233454737
6,7,9015933799,7098344747,0.98,-15.545160458400092
7,8,9968245471,7304340059,0.57,18.526847633970604
8,9,13747903094,8059201998,0.57,45.41367918435315
9,10,12848028583,7905275010,0.57,38.2878242071749
